runtag1             runtag2             difference
DALTRECAA1          prnaTaskA3          0.0816
DALTRECAA1          prnaTaskA2          0.0823
DALTRECAA1          prnaTaskA1          0.0875
DALTRECAA1          PKUICSTRunA2        0.1654
DALTRECAA1          SNACS_LA            0.1501
DALTRECAA1          UWaterlooATDK       0.1206
DALTRECAA1          IRIT-KLTFIDF        0.1127
DALTRECAA1          SNACSA              0.1876
DALTRECAA1          QUBaseline          0.0874
QUDyn               SNACS_LA            0.1212
QUDyn               UWaterlooATDK       0.0917
QUDyn               SNACSA              0.1587
