runtag1             runtag2             difference
MPII_LUC_SORT       umd_hcil_run01      0.1630
MPII_LUC_SORT       prnaTaskA3          0.1725
MPII_LUC_SORT       prnaTaskA2          0.1762
MPII_LUC_SORT       prnaTaskA1          0.1756
MPII_LUC_SORT       PKUICSTRunA2        0.2334
MPII_LUC_SORT       SNACS_LA            0.2022
MPII_LUC_SORT       UWaterlooATDK       0.2309
MPII_LUC_SORT       QUDynExp            0.1007
MPII_LUC_SORT       SNACSA              0.2245
MPII_LUC_SORT       UWCMBP1             0.1609
MPII_LUC_SORT       QUBaseline          0.1909
MPII_LUC_SORT       umd_hcil_run02      0.1179
MPII_LUC_SORT       udelRun2A           0.1829
MPII_LUC_SORT       QUDyn               0.1009
MPII_LUC_SORT       udelRun3A           0.1418
DALTRECAA1          hpclab_pi_algA      0.1030
DALTRECAA1          UWaterlooATEK       0.1207
DALTRECAA1          UWaterlooATNDEK     0.1023
DALTRECAA1          udelRun1A           0.1058
DALTRECAA1          umd_hcil_run01      0.1024
DALTRECAA1          prnaTaskA3          0.1119
DALTRECAA1          prnaTaskA2          0.1156
DALTRECAA1          prnaTaskA1          0.1150
DALTRECAA1          PKUICSTRunA2        0.1728
DALTRECAA1          SNACS_LA            0.1416
DALTRECAA1          UWaterlooATDK       0.1703
DALTRECAA1          IRIT-KLTFIDF        0.1205
DALTRECAA1          SNACSA              0.1639
DALTRECAA1          UWCMBP1             0.1003
DALTRECAA1          QUBaseline          0.1303
DALTRECAA1          udelRun2A           0.1223
QUDyn               SNACS_LA            0.1013
QUDyn               UWaterlooATDK       0.1300
QUDyn               SNACSA              0.1236
